Monday, 9,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608035F650>>
Monday, 10,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608035FB10>>
Monday, 11,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608035FAD0>>
Monday, 12,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036C910>>
Monday, 13,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036C810>>
Monday, 14,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036CED0>>
Monday, 15,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036CFD0>>
Monday, 16,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036CE10>>
Tuesday, 9,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D110>>
Tuesday, 10,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036CF10>>
Tuesday, 11,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D0D0>>
Tuesday, 12,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D010>>
Tuesday, 13,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D150>>
Tuesday, 14,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D190>>
Tuesday, 15,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D1D0>>
Tuesday, 16,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D210>>
Wednesday, 9,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D250>>
Wednesday, 10,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D290>>
Wednesday, 11,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D2D0>>
Wednesday, 12,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D310>>
Wednesday, 13,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D350>>
Wednesday, 14,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D390>>
Wednesday, 15,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D3D0>>
Wednesday, 16,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D410>>
Thursday, 9,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D490>>
Thursday, 10,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D510>>
Thursday, 11,Steven, 403-600-6000,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036E110>>
Thursday, 12,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D610>>
Thursday, 13,Gabriela, 368-111-9999,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D690>>
Thursday, 14,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D710>>
Thursday, 15,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D790>>
Thursday, 16,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D810>>
Friday, 9,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D890>>
Friday, 10,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D910>>
Friday, 11,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036D990>>
Friday, 12,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DA10>>
Friday, 13,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DA90>>
Friday, 14,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DB10>>
Friday, 15,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DB90>>
Friday, 16,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DC10>>
Saturday, 9,Tyler, 587-123-4567,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DC90>>
Saturday, 11,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DD90>>
Saturday, 12,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DE10>>
Saturday, 13,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DE90>>
Saturday, 14,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DF10>>
Saturday, 15,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036DF90>>
Saturday, 16,, ,<bound method Appointment.get_appt_type of <appointment.Appointment object at 0x000002608036E010>>
